Expression,Mean_C,SD_C,N_Rate,N_Unknown
a chip on your shoulder,1.4,0.699205898780101,10,0
a cold day in hell,1.4,1.2649110640673518,10,0
a cold fish,4.090909090909091,1.3751033019046572,11,0
a come on,2.5,1.509230856356236,10,1
a countenance more in sorrow than in anger,2.2,1.7511900715418263,10,1
a couple,4.4,0.8432740427115678,10,0
a couple of,2.8,1.2292725943057183,10,0
a credit to,2.8,1.8135294011647258,10,0
a curate's egg,2.7,1.636391694484477,10,7
a cut above,2.3,1.2516655570345725,10,0
a daniel come to judgement,2.3,1.0593499054713802,10,6
a day late and a dollar short,2.4545454545454546,1.2933395813657265,11,1
a degree of,2.4545454545454546,1.4396969378057567,11,0
à deux,3.2,1.6865480854231356,10,5
a diamond in the rough,1.7272727272727273,0.9045340337332909,11,0
a diamond is forever,1.6363636363636365,1.026910636104941,11,0
a dicey situation,1.9090909090909092,1.4459976109624424,11,1
a different kettle of fish,2.272727272727273,1.555050423035156,11,3
a dime a dozen,2,1.0540925533894598,10,0
a dish fit for the gods,1.9,1.286683937707919,10,1
a doddle,2.7,1.70293863659264,10,4
a dog and pony show,2.272727272727273,1.2720777563426766,11,1
a dog is a man's best friend,2.5,1.5811388300841898,10,0
a dog's breakfast,3,1.8257418583505538,10,0
a dog's life,3.090909090909091,1.6403990645294488,11,0
a dose of your own medicine,1.7,0.8232726023485646,10,0
a doubting thomas,1.8,1.6865480854231356,10,1
a drive,3,1.247219128924647,10,1
a drop in the bucket,2.8,1.398411797560202,10,1
a drop in the ocean,2.3,1.636391694484477,10,0
a drowning man will clutch at a straw,1.8,1.1352924243950935,10,2
a dry run,2.3,1.3374935098492586,10,0
a fair shake,2.090909090909091,1.2210278829367867,11,1
a far cry from,1.4,0.699205898780101,10,0
a fat cat,3.727272727272727,1.555050423035156,11,1
a fate worse than death,1.3,0.48304589153964794,10,0
a feather in one's cap,2,1.1832159566199232,11,1
a feather in your cap,2.1818181818181817,1.4709304414677002,11,0
a few,1.6,0.9660917830792959,10,0
a few irons in the fire,1.9,1.1972189997378648,10,1
a fighting chance,2.5,1.1785113019775793,10,0
a fine state of affairs,2.3,1.2516655570345725,10,0
a finger in every pie,3.1,2.0248456731316584,10,2
a firm grip,2.5,1.5811388300841898,10,1
a fish always rots from the head down,1.7272727272727273,1.009049958219026,11,4
a fish out of water,2.3,1.2516655570345725,10,0
a fish rots from the head down,2.5,1.9578900207451218,10,4
a flash in the pan,2.7,1.5670212364724212,10,0
a fly in the ointment,2.6,1.577621275493231,10,2
a fly on the wall,2.090909090909091,0.9438798074485389,11,1
a fool and his money are soon parted,1.5454545454545454,1.0357254813546264,11,1
a fool's paradise,1.9,0.9944289260117533,10,2
a foot in the door,2.8181818181818183,1.4709304414677002,11,0
a foregone conclusion,2.4,1.1737877907772674,10,1
a fortiori,NA,NA,2,8
a freak-out,2.7,1.70293863659264,10,0
a friend in need is a friend indeed,2.6,1.6465452046971292,10,0
a frog in one's throat,1.8,1.1352924243950935,10,0
a frog in the throat,2.1,1.1972189997378648,10,1
a further,2.4545454545454546,1.0357254813546264,11,1
a gem of,2.9,1.66332999331662,10,1
a gentleman and a scholar,2.1,1.449137674618944,10,1
a getaway,3,1.3333333333333333,10,0
a ghost of a chance,1.7,1.0593499054713802,10,1
a go,3,1.4907119849998598,10,1
a golden key can open any door,1,0,10,0
a goner,2.3,1.3374935098492586,10,0
a good,2.727272727272727,1.4206272622267313,11,3
a good beginning makes a good ending,1.9,1.449137674618944,10,0
a good deal,2.235294117647059,1.147247344990711,17,0
a good deal of,1.7,0.6749485577105528,10,1
a good few,2.272727272727273,1.348399724926484,11,0
a good man is hard to find,1.9090909090909092,1.300349603340998,11,0
a good many,3,1.0954451150103321,11,2
a good sport,2.7,1.5670212364724212,10,0
a goof-off,2,1.247219128924647,10,0
a gray area,2.727272727272727,1.1908743922772957,11,1
a great deal,2.5454545454545454,1.5075567228888183,11,0
a great deal of,2.090909090909091,1.3751033019046572,11,0
a great many,3.3,1.5670212364724212,10,0
a grey area,3,1.2649110640673518,11,0
a hair out of place,2,0.9428090415820634,10,0
a handful,3.3,1.636391694484477,10,0
a handful of,2.5,1.2692955176439846,10,0
a hang-up,2.5,1.4337208778404378,10,0
a hard man is good to find,1.6666666666666667,1.3026778945578592,12,0
a hard nut to crack,2.7,1.3374935098492586,10,0
a hard pill to swallow,1.6363636363636365,1.2862913567871994,11,0
a heart-to-heart,1.9,0.8755950357709131,10,2
a heck of a lot,1.6,0.699205898780101,10,0
a heel,4.181818181818182,1.1677484162422844,11,0
a hell of a lot,1.9,1.286683937707919,10,0
a hiding to nothing,1.9,1.1972189997378648,10,1
a high-flyer,2.6,1.2649110640673518,10,0
"a horse, a horse, my kingdom for a horse",1.9230769230769231,1.0377490433255416,13,4
a hot potato,3.727272727272727,1.6787441193290353,11,1
a house divided against itself cannot stand,2.4,1.6465452046971292,10,1
a house is not a home,1.9,1.3703203194062976,10,0
a house of cards,2.6,1.577621275493231,10,0
a house of ill repute,2.7,2.0027758514399734,10,1
a hundred times,3.3,1.70293863659264,10,0
a journey of a thousand miles begins with a single step,1.8,1.2292725943057183,10,0
a kick in the guts,2.2,1.4757295747452437,10,0
a kick in the pants,1.7,0.8232726023485646,10,2
a kick in the seat,2.5,1.35400640077266,10,3
a kick in the seat of the pants,2.3636363636363638,1.5015143870590966,11,1
a kick in the stomach,2.9,1.286683937707919,10,0
a kick in the teeth,2.1,1.449137674618944,10,1
a kickback,2.4,0.8432740427115678,10,3
a knight in shining armour,3.5,1.509230856356236,10,0
à la,NA,NA,2,8
à la carte,2.8,1.6865480854231356,10,3
à la mode,2.9,1.728840330651992,10,5
à la provençale,NA,NA,1,8
a lack of,2.2,1.2292725943057183,10,0
a large range of,2.2,1.398411797560202,10,3
a laugh a minute,2.7,1.8287822299126937,10,1
a leg to stand on,2.7,1.636391694484477,10,0
a legend in one's own lifetime,1.7,0.9486832980505138,10,0
a leopard can't change his spots,2,1.0540925533894598,10,0
a leopard cannot change its spots,1.7,1.0593499054713802,10,0
a let down,1.4,0.699205898780101,10,0
A level,3.8333333333333335,1.4668044012461754,12,0
a lick and a promise,1.9090909090909092,1.2210278829367867,11,5
a likely story,1.8,1.3165611772087666,10,1
a little,2.6,1.1737877907772674,10,0
a little bird told me,2,1.699673171197595,10,0
a little birdie told me,1.3,0.48304589153964794,10,1
a little bit,2.5454545454545454,1.3684762594679065,11,2
a little bit of,2.2,0.9189365834726815,10,0
a little bit of bread and no cheese,3.3,1.888562063228706,10,2
a little knowledge is a dangerous thing,1.4,0.5163977794943222,10,0
a little learning is a dangerous thing,2.1,1.66332999331662,10,1
a little of what you fancy does you good,3.1,1.728840330651992,10,0
a load of baloney,2,1.5491933384829668,11,0
a load of cobblers,2.909090909090909,1.4459976109624424,11,1
a load of codswallop,1.6,0.9660917830792959,10,2
a lone wolf,2.1,1.1972189997378648,10,0
a long shot,2,1.5491933384829668,11,0
a long time,1.8333333333333333,1.1504474832710556,18,1
a long way,2.5833333333333335,1.5642792899510294,12,0
a loose end,1.7,1.0593499054713802,10,0
a lost cause,1.6666666666666667,1.3284223283101428,18,0
a lot,2.9,1.449137674618944,10,0
a lot at stake,2,1.4907119849998598,10,1
a lot of,2.090909090909091,1.3751033019046572,11,0
a lot of baloney,1.8,1.3165611772087666,10,0
a lot on your plate,2,1.247219128924647,10,0
a low profile,1.8181818181818181,1.1677484162422844,11,0
a lump in my throat,2.3333333333333335,1.3026778945578592,12,0
A major,3.090909090909091,1.7002673586554236,11,0
a majority of,2.6363636363636362,1.6292775867068985,11,0
a man after my own heart,1.7,1.2516655570345725,10,3
a man is known by his friends,1.7,1.3374935098492586,10,0
a man of few words,2.1,1.286683937707919,10,0
a man of his word,2.090909090909091,1.300349603340998,11,0
a man who is his own lawyer has a fool for a client,2.3,1.636391694484477,10,0
a matter of life and death,2.9166666666666665,1.4433756729740645,12,0
a matter of life or death,2.3,1.3374935098492586,10,0
a matter of time,2.1,1.3703203194062976,10,0
a mere,1.7272727272727273,1.1908743922772957,11,0
a method to the madness,1.9,1.286683937707919,10,0
a mile a minute,2,1.4907119849998598,10,0
a million times,2.6363636363636362,1.5015143870590966,11,1
a millstone around one's neck,2.727272727272727,1.6787441193290353,11,6
a ministering angel shall my sister be,1.5,0.7071067811865476,10,6
a minority of,2.272727272727273,1.4206272622267313,11,0
a miss is as good as a mile,2,1.632993161855452,10,0
a mixed bag,3.2,1.398411797560202,10,0
a month of sundays,1.5,0.8498365855987975,10,2
a must,2.1,0.9944289260117533,10,0
a nation of shopkeepers,3.1,1.5238839267549948,10,3
a necessary evil,2,1.4907119849998598,10,0
a nervous wreck,2,1.247219128924647,10,0
a nest of vipers,2.8181818181818183,1.7215215257545762,11,0
a new broom sweeps clean,2.5,1.4337208778404378,10,3
a new dawn,1.6,0.8432740427115678,10,2
a no-brainer,2,1.632993161855452,10,0
a No. 1,2.4166666666666665,1.5050420310248864,12,1
a nod is as good as a wink,1.8125,1.3768926368215255,16,4
a nod is as good as a wink to a blind horse,1.6923076923076923,0.9473309334313419,13,0
a norange,NA,NA,4,10
a notch above,2.090909090909091,1.5782614139961386,11,0
a number of,2.5,1.2692955176439846,10,0
a one,3.1,1.3703203194062976,10,5
a pair,3.5454545454545454,1.2933395813657265,11,1
a pat on the back,3.2,1.4757295747452437,10,0
a peach,4.9,0.31622776601683794,10,0
a penny for your thoughts,1.5,0.7071067811865476,10,0
a penny saved is a penny earned,2.6,1.7126976771553504,10,0
a person is known by the company he keeps,2.1,0.9944289260117533,10,0
a picture is worth a thousand words,2.176470588235294,1.4245742398014511,17,0
a picture paints a thousand words,1.8,1.3165611772087666,10,1
a piece of cake,3.7,1.4181364924121764,10,0
a piece of the action,1.9090909090909092,1.2210278829367867,11,0
a pig in a poke,1.7,1.1595018087284057,10,1
a pillar of strength,1.5,0.5270462766947299,10,1
a pipe dream,1.3,0.48304589153964794,10,1
a place for everything and everything in its place,2.4166666666666665,1.5050420310248864,12,1
a place in the sun,2.4,0.8432740427115678,10,0
a plague on both of your houses,1.4,1.2649110640673518,10,2
a plague on both your houses,2.5454545454545454,1.3684762594679065,11,0
a pleasure,3.1,1.1972189997378648,10,0
a plethora of,2.9375,1.526160760426852,16,6
a plum in your mouth,2.9,1.449137674618944,10,2
a plum job,1.9333333333333333,1.0997835284835873,15,5
a plus,2.8,1.5491933384829668,10,0
a pocket of resistance,2.7,1.636391694484477,10,0
a poor view,3,1.632993161855452,10,0
a poor workman always blames his tools,2,1.247219128924647,10,0
a posteriori,NA,NA,4,8
a pound of flesh,3.0833333333333335,1.3113721705515067,12,0
a pretty penny,2.6,1.776388345929897,10,0
a priori,2,1.1881770515720091,18,7
a problem shared is a problem halved,2,1.4142135623730951,11,0
a prophet is not recognized in his own land,1.8,1.0327955589886444,10,3
a propos,2.4,1.2649110640673518,10,6
a put-down,2.3,1.3374935098492586,10,2
a quantity of,2.8,1.4757295747452437,10,1
a question of,2.1,1.1972189997378648,10,0
a question of time,2.1818181818181817,1.5374122295716148,11,0
a range of,2.5,1.35400640077266,10,0
a red line,3.9166666666666665,0.9962049198956219,12,1
a red rag to a bull,2.2,1.398411797560202,10,0
a riddle wrapped up in an enigma,1.7,1.2516655570345725,10,0
a rip-off,2.7,1.5670212364724212,10,0
a ripe old age,2.3529411764705883,1.1694644324747672,17,0
a rising tide lifts all boats,2.3,1.70293863659264,10,0
a roaring trade,2,1.1547005383792515,10,3
a roll,3.75,1.3568010505999362,12,0
a rolling stone gathers no moss,1.9,1.286683937707919,10,1
a rose by any other name would smell as sweet,2.4,1.0749676997731399,10,1
a rose is a rose is a rose,2.4,1.577621275493231,10,1
a rotten egg,3.9,1.3703203194062976,10,1
a rude awakening,2.5,1.6499158227686108,10,0
a running battle,2.2,1.2292725943057183,10,0
a sad state of affairs,1.6,1.2649110640673518,10,0
a safe pair of hands,2,1.0954451150103321,11,0
a sea change,2.1,1.66332999331662,10,0
a sec,3,1.9436506316151,10,0
a senior moment,2.1,1.3703203194062976,10,0
a shame,1.25,0.621581560508061,12,0
a sharp cookie,2.1,1.286683937707919,10,0
a short time,2.4545454545454546,1.0357254813546264,11,0
a shot in the arm,3.090909090909091,1.300349603340998,11,0
a shot in the dark,1.8181818181818181,1.1677484162422844,11,0
a shouting match,2.5454545454545454,1.1281521496355325,11,1
a show of hands,3.5454545454545454,1.4396969378057567,11,0
a shrinking violet,2,1.3333333333333333,10,3
a sight for sore eyes,2.090909090909091,1.4459976109624424,11,0
a silver spoon in your mouth,1.6666666666666667,1.0730867399773196,12,0
a single,2.8181818181818183,1.2504544628399563,11,1
a skeleton in the closet,1.2,0.4216370213557839,10,0
a slap in the face,2.5,1.509230856356236,10,0
a slap on the wrist,2.8181818181818183,1.5374122295716148,11,0
a sledgehammer to crack a nut,2.8,1.7511900715418263,10,1
a sleeping partner,3.1,0.8755950357709131,10,0
a slice of heaven,1.5454545454545454,1.2135597524338357,11,0
a slice of the cake,3.4,1.6465452046971292,10,0
a slip of the tongue,2,1.4907119849998598,10,1
a smart cookie,2.25,1.5447859516333116,12,0
a smokescreen,2.4,1.429840705968481,10,1
a smooth landing,2.4,1.3498971154211057,10,0
a snake in the grass,2.4545454545454546,1.572490786213793,11,0
a snap decision,2.3529411764705883,1.1147408034263075,17,0
a social butterfly,2,1.4142135623730951,11,0
a soft answer turneth away wrath,1.7,1.3374935098492586,10,4
a sore point,1.8666666666666667,1.3020130933435712,15,0
a sore spot,2.823529411764706,1.1850788010532811,17,1
a sorry sight,2.2,1.5491933384829668,10,0
a sorry state of affairs,2.1,1.3703203194062976,10,0
a sport,3.3,1.2516655570345725,10,0
a sprat to catch a mackerel,NA,NA,4,8
a square peg in a round hole,1.6,1.2649110640673518,10,0
a stitch in time saves nine,1.6,1.2649110640673518,10,0
a stone's throw,2.4166666666666665,1.4433756729740645,12,0
a stone's throw away,2.727272727272727,1.4893561757289013,11,0
a stool pigeon,2.9375,1.3889444433333777,16,7
a storm is brewing,1.9090909090909092,1.044465935734187,11,0
a stretch,2.4545454545454546,1.0357254813546264,11,0
a student,3.9,1.3703203194062976,10,1
a stumbling block,2.8,1.5491933384829668,10,0
a swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,NA,NA,8,8
a tall order,2.1,1.286683937707919,10,0
a tall story,1.8,1.0327955589886444,10,1
a tall tale,1.9166666666666667,0.9962049198956219,12,2
a target on someone's back,2.090909090909091,1.3751033019046572,11,0
a taste of one's own medicine,1.2222222222222223,0.5483188805533162,18,0
a taste of your own medicine,2.090909090909091,1.300349603340998,11,0
a thin line,3,1,11,0
a thing of beauty is a joy forever,2.4,1.505545305418162,10,0
a thing or two,2.727272727272727,1.555050423035156,11,0
a thorn in my flesh,2.4166666666666665,1.378954368902449,12,0
a thorn in your flesh,3.2,1.4757295747452437,10,1
a thorn in your side,1.9,1.3703203194062976,10,0
a tinker's dam,NA,NA,3,8
a tinker's damn,2.1666666666666665,1.2673044646258476,12,16
a to z,2,1.0540925533894598,10,0
a to-do,3.1818181818181817,1.3280197150781925,11,0
a ton,3.8,1.3165611772087666,10,0
a tongue-lashing,2.0625,1.3400870618483463,16,1
a toss up,2,1.247219128924647,10,0
a touch,3.4,1.2649110640673518,10,0
a touch of,2.4,0.9660917830792959,10,0
a tough cookie,1.4,0.699205898780101,10,0
a tower of strength,2.7,1.70293863659264,10,0
a treat,2.6,1.2649110640673518,10,0
a trifle,2.4,1.2649110640673518,10,1
a trouble shared is a trouble halved,2,1.2649110640673518,11,1
a trying time,2.1,0.8755950357709131,10,1
a turn for the worse,2.5,1.35400640077266,10,0
a turn up for the books,1.2,0.4216370213557839,10,7
a variety of,1.9090909090909092,0.9438798074485389,11,0
a volunteer is worth twenty pressed men,1.7,1.0593499054713802,10,3
a watched pot never boils,2.4,1.577621275493231,10,0
a week from next tuesday,2.8,1.4757295747452437,10,0
a weight off your shoulders,2.4,1.1737877907772674,10,1
a whale of a time,1.9,1.1005049346146119,10,0
a while,2.4,1.2649110640673518,10,0
a white lie,1.7,0.8232726023485646,10,1
a whole lot,2.3,1.3374935098492586,10,0
a wide berth,2.4,1.1737877907772674,10,1
a wing and a prayer,1.9,1.1005049346146119,10,1
a wolf in sheep's clothing,1.7,0.9486832980505138,10,0
"a woman is only a woman, but a good cigar is a smoke",1.65,1.1367080817685316,20,8
a woman needs a man like a fish needs a bicycle,1.7,1.4944341180973264,10,2
a woman of her word,1.7272727272727273,0.9045340337332909,11,0
a woman's place is in the home,1.3,0.6749485577105528,10,0
a woman's work is never done,2.3,1.1595018087284057,10,0
a word in edgeways,1.2727272727272727,0.6466697906828632,11,0
a word in your shell-like,NA,NA,7,8
a word to the wise,1.6,1.2649110640673518,10,0
a word to the wise is enough,1.3636363636363635,0.674199862463242,11,2
a young man's fancy,2.6,1.7126976771553504,10,0
a-d conversion,NA,NA,9,8
a-flat minor,3,1.7638342073763937,10,4
a-frame house,3.727272727272727,1.1908743922772957,11,1
a-frame tent,4,1.247219128924647,10,2
a-level,2.9,1.5951314818673865,10,0
a-sharp major,2.7,1.5670212364724212,10,1
a-team,2.8,1.6193277068654826,10,0
a.n. other,NA,NA,4,8
A1,2.5,1.5063966175050876,14,4
A2 level,2.9,1.5238839267549948,10,3
ab extra,NA,NA,1,8
ab inconvenienti,NA,NA,5,8
ab initio,NA,NA,9,24
abandon a sinking ship,1.8,0.9189365834726815,10,0
abandon all hope ye who enter here,1.8,1.4757295747452437,10,0
abandon ship,4.1,0.8755950357709131,10,0
abandoned infant,4,0.816496580927726,10,0
abasia atactica,NA,NA,NA,8
abate of,2.1538461538461537,1.0681880176381127,13,14
abatement of a nuisance,1.6,0.9660917830792959,10,2
abb wool,NA,NA,8,8
abbot general,NA,NA,4,8
abbreviated piece of nothing,1.3,0.48304589153964794,10,4
abdominal cavity,4.5,0.7071067811865476,10,0
abdominal muscle,4.2,1.2292725943057183,10,0
abdominal pregnancy,3.8,1.6193277068654826,10,1
abdominal quadrant,3.6875,1.4476993242152645,16,4
abdominal strap,4.4,0.9660917830792959,10,4
abdominal wall,4.4,1.0749676997731399,10,1
abdominodiaphragmatic breathing,3.7,1.2516655570345725,10,5
abdominoperineal resection,3.8,1.1352924243950935,10,7
abductor muscle,4.545454545454546,0.5222329678670935,11,0
abductor oculi,NA,NA,5,9
abide by,2.272727272727273,1.2720777563426766,11,0
abide by something,2.3,1.4944341180973264,10,1
abide with me,2.090909090909091,1.044465935734187,11,1
abietic acid,4,1.3333333333333333,10,1
ablative case,NA,NA,7,8
able and willing,1.4,0.699205898780101,10,0
able bodied,3.2,0.7888106377466155,10,0
able for,2.16,1.1430952132988164,25,4
able rating,2.2,1.3165611772087666,10,3
able seaman,3.1,1.3703203194062976,10,1
able to take a joke,1.9,0.9944289260117533,10,0
able-bodied,3.1,1.1005049346146119,10,0
abney level,NA,NA,7,16
abnormal psychology,2.6,1.2649110640673518,10,1
abo system,NA,NA,6,8
abominable snowman,2.9,1.1972189997378648,10,0
abortion pill,4.4,0.699205898780101,10,0
abortion right,2.909090909090909,1.6403990645294488,11,0
abound in,2.8,1.6193277068654826,10,1
abound in one's own sense,1.9285714285714286,1.2688144505364485,14,5
abound with,2,0.8944271909999159,11,2
about face,2,1.0540925533894598,10,0
about time,2,1.1547005383792515,16,0
about to,2.4,1.3498971154211057,10,3
about turn,2.5,1.35400640077266,10,3
about-face,2.5454545454545454,1.6348477827391983,11,0
above all,2.090909090909091,1.2210278829367867,11,0
above and beyond,2.272727272727273,1.4893561757289013,11,0
above and beyond the call of duty,2.1,1.286683937707919,10,1
above average,2.4,1.577621275493231,10,0
above board,3,1.7638342073763937,10,3
above measure,2.2,1.4757295747452437,10,3
above one's bend,NA,NA,8,9
above stealing,2.0833333333333335,0.7929614610987591,12,1
above the curve,1.9166666666666667,1.378954368902449,12,2
above the law,2.1,1.1972189997378648,10,0
above water,3,1.4142135623730951,11,0
above your pay grade,2.1,1.5238839267549948,10,0
above-the-line promotion,2.1,1.1005049346146119,10,1
abracadabra,1.5,0.7071067811865476,10,1
abrasive personality,1.5454545454545454,0.6875516509523286,11,0
abruptio placentae,NA,NA,3,8
abscissio infiniti,NA,NA,3,8
absence makes the heart grow fonder,1.5,0.7071067811865476,10,0
absence makes the heart grow stronger,1.6,0.9660917830792959,10,0
absence seizure,3.1,1.3703203194062976,10,6
absence without leave,2.4705882352941178,1.3746657347707991,17,1
absent minded,1.5454545454545454,0.6875516509523286,11,0
absent without leave,2.4,1.1737877907772674,10,0
absent-minded,1.8,1.3165611772087666,10,0
absent-mindedly,2.8181818181818183,1.5374122295716148,11,0
absent-mindedness,2.230769230769231,1.4232501627054275,13,1
absentee ballot,3.6,1.429840705968481,10,4
absentee landlord,3.1,0.9944289260117533,10,0
absentee rate,3.4545454545454546,1.1281521496355325,11,0
absentee vote,3.1818181818181817,1.4709304414677002,11,2
absinthe oil,4.6,0.9660917830792959,10,2
absolute altimeter,NA,NA,7,8
absolute ceiling,2.1,1.1005049346146119,10,3
absolute form,2.8,1.4757295747452437,10,3
absolute frequency,2.5454545454545454,1.5075567228888183,11,1
absolute humidity,2.8,1.3165611772087666,10,1
absolute majority,3,1.632993161855452,10,0
absolute of enfleurage,NA,NA,1,8
absolute pitch,2.8666666666666667,1.5976172734359604,15,5
absolute power corrupts absolutely,2.5,1.5811388300841898,10,2
absolute system,3.090909090909091,1.5782614139961386,11,2
absolute temperature,2.9,1.286683937707919,10,1
absolute term,3.0833333333333335,1.6213537179739277,12,0
absolute threshold,2.727272727272727,1.4893561757289013,11,0
absolute value,3.7,1.3374935098492586,10,1
absolute zero,3.7,1.0593499054713802,10,0
absolutely not,2.8181818181818183,1.6011359603844901,11,0
absorbed dose,3.4,1.3498971154211057,10,4
absorbent pad,4.1,0.9944289260117533,10,1
absorption band,4.1,1.1005049346146119,10,3
absorption cell,2.5,1.2692955176439846,10,4
absorption coefficient,2.5,1.7159383568311668,10,4
absorption factor,2.5454545454545454,1.3684762594679065,11,3
absorption indicator,3.8,1.5491933384829668,10,2
absorption spectrum,2.4545454545454546,1.2933395813657265,11,6
abstract art,3,1.6733200530681511,11,0
abstract artist,3.6,0.8432740427115678,10,1
abstract entity,1.5555555555555556,1.0416176459053668,18,4
abstract expressionism,1.4615384615384615,1.126601424298216,13,1
abstract expressionist,3.5454545454545454,1.2135597524338357,11,1
abstract idea,1.8,1.398411797560202,10,0
abstract model,2.6,1.0749676997731399,10,0
abstract music,1.9,1.1005049346146119,10,2
abstract nonsense,1.2727272727272727,0.6466697906828632,11,0
abstract noun,2.3,1.5670212364724212,10,0
abstract term,1.8823529411764706,1.4090046549415864,17,0
abstract thought,1.1818181818181819,0.40451991747794525,11,0
abstract verb,2.2,1.4757295747452437,10,0
abuse of distress,2.3,1.4944341180973264,10,6
abutment arch,2.9,1.66332999331662,10,4
abyssal zone,2.8,1.398411797560202,10,5
acacia tree,4.6,0.699205898780101,10,1
academic degree,3.909090909090909,1.300349603340998,11,0
academic freedom,2.9,1.1972189997378648,10,0
academic gown,4.545454545454546,0.6875516509523286,11,0
academic robe,4.363636363636363,0.674199862463242,11,0
academic session,4,0.9428090415820634,10,0
academic term,3.3,1.5670212364724212,10,0
academic year,3.2,1.3165611772087666,10,0
academy award,4.4,0.9660917830792959,10,0
academy awards,3.9,1.1972189997378648,10,0
acaroid gum,NA,NA,6,8
accelerate off,2.4615384615384617,1.2659242088545832,13,0
