Expression,# of ratings (n=),Decomposability(percent)
Go the extra mile,105,0.6479
Go through something with a fine-toothed comb,104,0.5007
Go through the motions,103,0.6125
Go through the roof,109,0.2003
Go through the wringer,105,0.3322
Go to a lot of trouble,105,0.8097
Go to first base,103,0.1849
Go to town,110,0.2533
Go under the knife,104,0.6262
Go up in flames,103,0.513
Go up in smoke,109,0.5014
Grab the headlines,104,0.608
Grin from ear to ear,109,0.8083
Hang in the balance,104,0.5092
Hang on someone's every word,105,0.5229
Hang someone out to dry,105,0.1988
Hate someone's guts,106,0.6132
Have a bad hair day,105,0.8862
Have a bird's-eye view,105,0.8008
Have a bone to pick ,104,0.1633
Have a brainstorm,108,0.51
Have a change of heart,110,0.7082
Have a chip on one's shoulder,105,0.1522
Have a claim to fame,105,0.7241
Have a clean break,103,0.6796
Have a crack at something,104,0.421
Have a field day,105,0.2193
Have a fighting chance,105,0.762
Have a gentlemen's agreement,106,0.6421
Have a gleam in one's eye,109,0.3403
Have a good head on one's shoulders,104,0.7031
Have a hidden agenda,105,0.8763
Have a knee-jerk reaction,110,0.6197
Have a long way to go,105,0.9046
Have a lot on one's plate,104,0.4512
Have a lump in one's throat,106,0.3405
Have a one-track mind,105,0.5599
Have a passing acquaintance with someone,105,0.7908
Have a screw loose,103,0.2421
Have a silver lining,109,0.2677
Have a sneaking suspicion,105,0.8101
Have a stab at something,104,0.327
Have a sweet tooth,109,0.5002
Have a taste of one's own medicine,106,0.443
Have a thick skin,110,0.3339
Have an attitude problem,106,0.9145
Have an axe to grind,106,0.1506
Have bad blood (between),104,0.3346
Have butterflies in one's stomach,103,0.2915
Have eyes in the back of one's head,108,0.5
Have had one/a few too many,110,0.7265
Have one's eye on something,104,0.8296
Have one's foot in the door,104,0.4602
Have one's head in the clouds,105,0.2288
Have someone's blood on one's hands,110,0.5279
Have something down pat,110,0.4615
Have something down to a fine art,102,0.4708
Have something on the brain,109,0.6119
Have something to prove,106,0.8693
Have something under one's belt,106,0.1895
Have something up one's sleeve,110,0.4125
Have the ball in someone's court,105,0.4352
Have the goods on someone,105,0.2282
Have the last laugh,108,0.49
Have the munchies,105,0.5809
Have two left feet,108,0.3093
Have your work cut out for you,109,0.4939
Hear a pin drop,104,0.6337
Hear something through the grapevine,106,0.2347
Hedge one's bets,105,0.5715
Hit a glass ceiling,108,0.2938
Hit below the belt,103,0.4792
Hit rock bottom,106,0.5548
Hit the books,104,0.51
Hit the ground running,105,0.4924
Hit the hard stuff,105,0.229
Hit the hay,103,0.2355
Hit the jackpot,104,0.7408
Hit the mark,104,0.7771
Hit the nail on the head,104,0.441
Hit the sack,110,0.3004
Hold a candle to something/one,105,0.152
Hold a gun to someone's head,108,0.6245
Hold all of the cards,104,0.3452
Hold all the aces,105,0.3987
Hold down the fort,103,0.4675
Hold one's own,109,0.5049
In the eleventh hour,105,0.5343
In the same breath,105,0.3845
Join the club,110,0.5729
Jump on the bandwagon,110,0.4048
Jump through hoops,105,0.313
Keep a low profile,105,0.8101
Keep a straight face,104,0.8252
Keep an open mind,105,0.7331
Keep one's ear to the ground,105,0.4098
Keep someone at arm's length,103,0.8262
Keep someone guessing,105,0.8486
Keep someone in the dark,104,0.5485
Keep someone on their toes,104,0.327
Keep someone posted,104,0.7212
Keep something at bay,106,0.5082
Keep something under wraps,106,0.7336
Keep your eyes open,108,0.8238
Keep your head down,103,0.6596
Kill two birds with one stone,104,0.5115
Kiss something goodbye,109,0.704
Knock heads together,105,0.2941
Knock someone's socks off,106,0.1325
Know one's place,105,0.8576
Know something inside out,104,0.5768
Know something like the back of one's hand,106,0.5751
Know the score,105,0.705
Lay down the law,105,0.7524
Lay something to rest,105,0.7618
Learn something the hard way,109,0.8722
Learn the ropes,103,0.3675
Leave a bad taste in one's mouth,103,0.5519
Leave no stone unturned,109,0.6193
Leave one's mark,110,0.8206
Leave oneself wide open,105,0.6665
Leave someone in the lurch,105,0.475
Lend a hand,105,0.7712
Lend an ear,108,0.7007
Let off steam,103,0.3321
Let sleeping dogs lie,105,0.2487
Let someone off the hook,103,0.427
Let something slide,104,0.4722
Let your hair down,110,0.431
Lick one's chops,109,0.2912
Lick one's wounds,105,0.3418
Lie through ones teeth,104,0.5202
Live a charmed life,106,0.8027
Live in a dream world,105,0.6552
Look at the big picture,108,0.7666
Look like a million bucks,103,0.5719
Look out for number one,105,0.5715
Look the part,105,0.7427
Lose one's cool,105,0.6281
Lose one's marbles,108,0.2176
Lost one's edge,103,0.5258
Love someone to bits,106,0.3771
Love someone to pieces,103,0.3392
Make a beeline for something,106,0.4053
Make a break for something,108,0.5831
Make a killing,105,0.1618
Make a splash,103,0.4187
Make an ass of oneself,104,0.5575
Make ends meet,104,0.5183
Make it big,103,0.7079
Make it worth someone's while,103,0.7185
Make no bones about something,103,0.1066
Make one's bed,105,0.285
Make one's blood boil,104,0.3561
Make one's skin crawl,103,0.3109
Make out like a bandit,103,0.5647
Make someone's day,110,0.5633
Make the best of something,105,0.9136
Make the first move,104,0.7967
Mean the world to someone,105,0.6656
Meet one's match,108,0.7993
Meet someone halfway,106,0.8597
Mind one's own business,110,0.8743
Miss the boat,105,0.5428
Miss the bus,106,0.7736
Miss the point,106,0.8202
Move up the ladder,103,0.7296
Name names,104,0.8367
Need fresh blood,109,0.2285
Nip something in the bud,110,0.5345
No bed of roses,103,0.2421
No hard feelings,105,0.8286
Not be cut out for something,104,0.4144
Not be exactly a barrel of laughs,104,0.4896
Not be rocket science,104,0.5572
Not be up to par,110,0.6333
Not dream of doing something,109,0.6143
Not have a clue,105,0.9048
Not know someone from Adam,110,0.383
Not lift a finger,103,0.7879
Not say a word,104,0.8159
Not sleep a wink,108,0.7621
Not someone's cup of tea,105,0.2366
Not take something lying down,103,0.5175
Not taking no for an answer,103,0.8711
Off the top of one's head,103,0.3698
One of those days,106,0.4615
Only have eyes for someone,103,0.6302
Open doors for someone,103,0.5847
Outstay your welcome,110,0.9635
Pass the torch,105,0.4004
Pass with flying colors,106,0.302
Pat someone on the back,106,0.6991
Pave the way,110,0.6227
Pay one's dues,105,0.6769
Pay the price,110,0.7716
Pick someone's brain,104,0.3837
Pick up the ball and run with it,106,0.4135
Pick up the tab,104,0.7137
Pinch pennies,104,0.375
Place something on a pedestal,105,0.6484
Play ball,103,0.4447
Play cat and mouse,104,0.4922
Play chicken,106,0.0751
Play devil's advocate,104,0.4544
Play one's cards right,110,0.5902
Play one's last card,103,0.553
Play something by ear,105,0.3045
Play the field,104,0.2791
Point someone in the right direction,105,0.9053
Preach to the crowd,105,0.619
Pull oneself up by their bootstraps,108,0.3538
Pull out all the stops,110,0.3912
Pull rank on someone,104,0.6077
Pull some strings,105,0.285
Pull something out of a hat,105,0.363
Pull something out of the bag,108,0.56
Pull the rug out from under someone,106,0.4726
Push someone's buttons,105,0.2667
Push your luck,105,0.666
Put a damper on something,108,0.4628
Put all one's eggs in one basket,104,0.4159
Put all your cards on the table,105,0.4093
Put down roots,105,0.531
Put on a brave face,109,0.8404
Put one's foot down,110,0.4589
Put oneself in someone else's shoes,105,0.3716
Put out feelers,106,0.3853
Put someone in their place,104,0.5866
Put someone on the spot,105,0.5709
Put someone out of their misery,105,0.6272
Put something on the map,110,0.5239
Put something to bed,104,0.2693
Put words into someone's mouth,106,0.6503
Put your back into it,105,0.5521
Quake in one's boots,104,0.7567
Rack one's brain,109,0.5358
Rain on someone's parade,105,0.2958
Rake someone over the coals,104,0.2904
Rattle someone's cage,109,0.3343
Reach the boiling point,103,0.6485
Read between the lines,110,0.6008
Read someone like a book,105,0.648
Read someone's mind,106,0.7749
Read too much into something,110,0.7533
Recharge one's batteries,109,0.6095
Reinvent the wheel,109,0.3602
Remain nameless,106,0.7546
Rest one's case,104,0.6326
Rise to the bait,109,0.5947
Rock the boat,106,0.2358
Roll out the red carpet,106,0.338
Roll up one's sleeves,103,0.6513
Roll with the punches,105,0.4097
Rub someone's nose in something,103,0.4281
Run someone ragged,106,0.6592
Run something into the ground,110,0.5643
Saved by the bell,110,0.4712
Say something behind someone's back,110,0.8014
Say something under one's breath,106,0.7927
Scare someone out of their wits,105,0.828
Scare the living daylights out of someone,108,0.3855
Score points with someone,105,0.683
Scrape the bottom of the barrel,104,0.4131
Scratch the surface,109,0.6104
See the color of someone's money,105,0.2473
See the light,105,0.5038
See the light of day,105,0.4762
Sell like hot cakes,106,0.4252
Sell someone short,104,0.3361
Send a chill down one's spine,108,0.609
Send someone packing,109,0.7311
Set the record straight,103,0.6496
Set the stage,104,0.6805
Set up shop,105,0.8656
Set your heart on something,105,0.4757
Share common ground,105,0.7997
She won't bite,105,0.5327
Shoot oneself in the foot,104,0.498
Shoot the breeze,105,0.143
Shout something from the rooftops,105,0.6372
Show one's true colors,104,0.4323
Show someone the door,104,0.7511
Show someone who's boss,104,0.8167
Sign on the dotted line,110,0.7619
Sing someone's praises,103,0.7479
Sink or swim,110,0.6323
Sit up and take notice,105,0.9811
Sleep like a baby,108,0.7966
Slip someone's mind,106,0.7742
Smell a rat,104,0.2626
Soften the blow,104,0.7405
Someone's bark is worse than their bite,109,0.4241
Someone's days are numbered,105,0.7435
Someone's hands are tied,105,0.7137
Something has seen better days,105,0.6948
Something the cat dragged in,103,0.3587
Speak the same/someone's language,105,0.8099
Speak your mind,109,0.8475
Spill one's guts,106,0.2913
Spread one's wings,110,0.3349
Spread oneself too thin,105,0.447
Stand one's ground,104,0.8537
Stand out from the crowd,110,0.8561
Stand the test of time,106,0.8113
Stay on track,104,0.7667
Steal someone's thunder,104,0.2218
Steal the show,104,0.5477
Stick one's neck out,106,0.4338
Strike a chord with someone,104,0.4593
Strike gold,105,0.7335
Strike while the iron is hot,104,0.3259
Swallow one's pride,105,0.4947
Sweep the board,110,0.3213
Take a beating,105,0.7326
Take a bite out of something,103,0.4515
Take a raincheck,103,0.4075
Take a trip down memory lane,105,0.6194
Take its toll,108,0.6707
Take one's breath away,105,0.467
Take someone at their word,110,0.7775
Take someone down a peg or two,106,0.3016
Take someone under one's wing,104,0.3071
Take something by storm,103,0.3181
Take something the wrong way,109,0.8404
Take the cake,104,0.1704
Take the easy way out,104,0.8374
Take the edge off something,110,0.3972
Take the plunge,105,0.4272
Take the rap for something,110,0.5298
Take your pick,109,0.8895
Talk shop,106,0.5463
Teach someone a thing or two,105,0.8099
Teach someone the ropes,110,0.3176
Tear your hair out,110,0.4529
Tempt fate,110,0.7573
Test the waters,110,0.6064
Thank ones lucky stars,103,0.3487
The honeymoon is over,105,0.5915
Think on one's feet,105,0.4651
Think outside the box,105,0.3716
Throw a fit,105,0.6578
Throw caution to the wind,110,0.3714
Throw one's hat in the ring,110,0.2427
Throw someone a curveball,105,0.4481
Throw someone off balance,103,0.7679
Throw someone to the dogs,104,0.3546
Throw your weight around,105,0.3708
Tie up loose ends,106,0.6214
Tip the balance,110,0.6044
To go ape,108,0.2321
To mean business,106,0.7258
Touch base,103,0.5491
Treat someone like dirt,109,0.5837
Tug at someone's heartstrings,110,0.4884
Turn a deaf ear to something,104,0.6533
Turn over a new leaf,105,0.3042
Turn something inside out,106,0.5463
Turn the tables,103,0.3609
Turn your back on something,105,0.7816
Twist someone's arm,103,0.4581
Up the ante,106,0.8016
Upset the applecart,105,0.3042
Use someone as a punching bag,104,0.4591
Vanish into thin air,104,0.8069
Wait on someone hand and foot,105,0.5047
Walk on air,110,0.2158
Walk on eggshells,103,0.4092
Want a piece of the action,105,0.8955
Waste one's breath,105,0.5611
Watch one's mouth,104,0.6526
Watch someone like a hawk,100,0.6741
Watch your back,106,0.6973
Wear more than one hat,108,0.4197
Wear one's heart on their sleeve,105,0.3048
Welcome someone with open arms,110,0.8607
Whet someone's appetite,105,0.5724
Wield the axe,109,0.3528
Win brownie points,110,0.191
Wine and dine someone,103,0.8351
Wipe the grin off someone's face,110,0.6658
With a vengeance,103,0.7828
With bated breath,105,0.4193
With one's back to the wall,108,0.4728
Without missing a beat,105,0.6475
Won't break the bank,110,0.6459
Work like a charm,106,0.5367
Wrap someone around one's little finger,105,0.2669
Write the book on something,104,0.6043
Zip one's lip,106,0.5751
