Expression,# of ratings (n),Predict(percent)
Hold a candle to her/him/you/me/them,108,0.7
Hold a gun to someone's head,107,0.96
Hold all of the cards,109,0.69
Hold all the aces,108,0.02
Hold down the fort,106,0.78
Hold one's own,103,0.07
In the eleventh hour,105,0.8
In the same breath,108,0
Join the club,104,0.18
Jump on the bandwagon,107,0.3
Jump through hoops,111,0.95
Keep a low profile,108,0.99
Keep a straight face,110,0.83
Keep an open mind,108,0.82
Keep one's ear to the ground,108,0.64
Keep someone at arm's length,109,0.85
Keep someone guessing,108,0.07
Keep someone in the dark,111,0.47
Keep someone on their toes,106,0.66
Keep someone posted,108,0
Keep something at bay,105,0.31
Keep something under wraps,105,0.77
Keep your eyes open,105,0.48
Keep your head down,108,0.21
Kill two birds with one stone,111,0.99
Kiss something goodbye,104,0.38
Knock heads together,107,0.51
Knock someone's socks off,107,0.97
Know one's place,107,0.15
Know something inside out,104,0.74
Know something like the back of one's hand,107,0.94
Know the score,105,0.13
Lay down the law,108,0.43
Lay something to rest,105,0.69
Learn something the hard way,105,0.99
Learn the ropes,109,0.35
Leave a bad taste in one's mouth,108,1
Leave no stone unturned,104,0.9
Leave one's mark,104,0.11
Leave oneself wide open,111,0.95
Leave someone in the lurch,108,0.07
Lend a hand,108,0.79
Lend an ear,106,0.48
Let off steam,110,0.9
Let sleeping dogs lie,108,0.92
Let someone off the hook,108,0.79
Let something slide,109,0.06
Let your hair down,102,0.87
Lick one's chops,107,0.17
Lick one's wound/wounds,105,0.15
Lie through ones teeth,106,0.95
Live a charmed life,110,0.98
Live in a dream world,107,0.82
Look at the big picture,108,0.86
Look like a million bucks,111,0.68
Look out for number one,109,0.97
Look the part,104,0.77
Lose one's cool,111,0.08
Lose one's marbles,108,0.1
Lost one's edge,106,0
Love someone to bits,103,0.04
Love someone to pieces,108,0.14
Make a beeline for it,102,0.44
Make a break for it,106,0.93
Make a killing,108,0.01
Make a splash,109,0.01
Make an ass of oneself,109,0.93
Make ends meet,106,0.99
Make it big,110,0.05
Make it worth someone's while,108,0.75
Make no bones about it,108,0.96
Make one's bed,111,0.5
Make one's blood boil,105,0.91
Make one's skin crawl,108,0.79
Make out like a bandit,111,0.77
Make someone's day,104,0.33
Make the best of it,106,0.72
Make the first move,110,0.78
Mean the world to her/him/me/them,108,0.98
Meet one's match,106,0.61
Meet someone halfway,106,0.31
Mind one's own business,107,0.98
Miss the boat,107,0.2
Miss the bus,110,0.15
Miss the point,107,0.08
Move up the ladder,107,0.85
Name names,105,0.1
Need fresh blood,105,0.03
Nip something in the bud,104,0.9
No bed of roses,111,0.6
No hard feelings,108,0.6
Not be cut out for this/that/it,109,0.85
Not be exactly a barrel of laughs,109,0.39
Not be rocket science,106,0.95
Not be up to par,103,0.17
Not dream of it,104,0.58
Not have a clue,111,0.47
Not know someone from Adam,106,0.59
Not lift a finger,108,0.93
Not say a word,106,0.92
Not sleep a wink,107,0.9
Not someone's cup of tea,108,0.99
Not take something lying down,106,0.97
Not taking no for an answer,112,0.98
Off the top of one's head,108,0.83
One of those days,107,0.66
Only have eyes for her/him/you,109,0.98
Open doors for her/him/me/them/us/you,108,0.82
Outstay your welcome,107,0.93
Pass the torch,105,0.04
Pass with flying colors,107,0.97
Pat someone on the back,110,0.72
Pave the way,104,0.77
Pay one's dues,105,0.55
Pay the price,104,0.38
Pick someone's brain,108,0.32
Pick up the ball and run with it,110,0.98
Pick up the tab,109,0.15
Pinch pennies,105,0.55
Place something on a pedestal,108,0.76
Play ball,104,0.19
Play cat and mouse,110,0.91
Play chicken,107,0
Play devil's advocate,108,0.95
Play one's cards right,104,0.73
Play one's last card,111,0.25
Play something by ear,106,0.9
Play the field,107,0.12
Point someone in the right direction,108,0.99
Preach to the crowd,105,0.04
Pull oneself up by their bootstraps,106,0.58
Pull out all the stops,107,0.8
Pull rank,107,0.49
Pull some strings,110,0.38
Pull something out of a hat,108,0.6
Pull something out of the bag,108,0.06
Pull the rug out from under her/him/me/us/them,107,0.94
Push someone's buttons,107,0.34
Push your luck,105,0.5
Put a damper on it,104,0.34
Put all one's eggs in one basket,110,0.97
Put all your cards on the table,108,0.93
Put down roots,105,0.14
Put on a brave face,105,0.86
Put one's foot down,100,0.8
Put oneself in someone else's shoes,111,0.66
Put out feelers,103,0.03
Put someone in their place,108,0.87
Put someone on the spot,108,0.16
Put someone out of their misery,108,0.78
Put something on the map,104,0.01
Put something to bed,100,0.08
Put words into someone's mouth,110,0.99
Put your back into it,107,0.88
Quake in one's boots,110,0.75
Rack one's brain/brains,105,0.77
Rain on someone's parade,108,0.93
Rake someone over the coals,110,0.7
Rattle someone's cage,105,0.38
Reach the boiling point,108,1
Read between the lines,104,0.99
Read someone like a book,110,1
Read someone's mind,109,0.55
Read too much into it,106,0.77
Recharge one's batteries,104,0.83
Reinvent the wheel,105,0.83
Remain nameless,107,0.01
Rest one's case,110,0.08
Rise to the bait,105,0
Rock the boat,110,0.59
Roll out the red carpet,110,0.94
Roll up one's sleeves,108,0.9
Roll with the punches,105,0.6
Rub someone's nose in it,109,0.81
Run someone ragged,106,0.34
Run something into the ground,104,0.64
Saved by the bell,104,0.96
Say something behind someone's back,103,0.95
Say something under one's breath,107,0.94
Scare someone out of their wits,111,0.45
Scare the living daylights out of her/him/me/them/us,107,1
Score points with him/her/us/them,103,0.76
Scrape the bottom of the barrel,106,0.83
Scratch the surface,104,0.67
See the color of someone's money,103,0.04
See the light,108,0.53
See the light of day,105,0.9
Sell like hot cakes,107,0.9
Sell someone short,103,0.23
Send a chill down one's spine,107,0.91
Send someone packing,105,0.15
Set the record straight,111,0.8
Set the stage,105,0.07
Set up shop,108,0.33
Set your heart on it,108,0.44
Share common ground,108,0.23
She won't bite,102,0.02
Shoot oneself in the foot,106,0.82
Shoot the breeze,108,0.28
Shout something from the rooftops,110,0.65
Show one's true colors,109,0.86
Show someone the door,110,0.27
Show someone who's boss,110,0.85
Sign on the dotted line,104,0.99
Sing someone's praises,107,0.22
Sink or swim,107,0.93
Sit up and take notice,108,0.64
Sleep like a baby,107,0.58
Slip someone's mind,110,0.93
Smell a rat,110,0.5
Soften the blow,109,0.66
Someone's bark is worse than their bite,105,0.97
Someone's days are numbered,108,0.83
Someone's hands are tied,105,0.37
Something has seen better days,105,0.91
Something the cat dragged in,108,0.91
Speak the same/someone's language,105,0.71
Speak your mind,105,0.68
Spill one's guts,107,0.3
Spread one's wings,107,0.38
Spread oneself too thin,108,0.91
Stand one's ground,111,0.9
Stand out from the crowd,107,0.76
Stand the test of time,107,0.98
Stay on track,108,0.23
Steal someone's thunder,106,0.06
Steal the show,106,0.59
Stick one's neck out,107,0.93
Strike a chord with him/her/them/me,110,1
Strike gold,108,0.51
Strike while the iron is hot,109,0.99
Swallow one's pride,111,0.62
Sweep the board,107,0.01
Take a beating,108,0.02
Take a bite out of it,106,0.3
Take a raincheck,108,0
Take a trip down memory lane,111,0.99
Take its toll,107,0.42
Take one's breath away,108,0.96
Take someone at their word,107,0.85
Take someone down a peg or two,110,0.93
Take someone under one's wing,109,0.92
Take something by storm,106,0.25
Take something the wrong way,105,0.93
Take the cake,100,0.36
Take the easy way out,106,1
Take the edge off,102,0.97
Take the plunge,109,0
Take the rap,104,0.01
Take your pick,104,0
Talk shop,103,0.05
Teach someone a thing or two,105,0.98
Teach someone the ropes,104,0.34
Tear your hair out,107,0.91
Tempt fate,106,0.45
Test the waters,104,0.59
Thank ones lucky stars,108,0.89
The honeymoon is over,108,0.52
Think on one's feet,108,0.73
Think outside the box,105,0.98
Throw a fit,108,0.55
Throw caution to the wind,107,0.96
Throw one's hat in the ring,107,0.29
Throw someone a curveball,107,0.12
Throw someone off balance,101,0.26
Throw someone to the dogs,106,0.12
Throw your weight around,108,0.81
Tie up loose ends,109,0.96
Tip the balance,104,0.01
To go ape,101,0
To mean business,106,0.14
Touch base,108,0.14
Treat someone like dirt,101,0.3
Tug at someone's heartstrings,103,0.8
Turn a deaf ear to it,105,0.7
Turn over a new leaf,108,0.94
Turn something inside out,110,0.98
Turn the tables,107,0.11
Turn your back on her/him/them/us/me/it,108,0.84
Twist someone's arm,108,0.55
Up the ante,106,0.78
Upset the applecart,110,0.15
Use someone as a punching bag,109,1
Vanish into thin air,109,1
Wait on someone hand and foot,111,0.95
Walk on air,103,0.34
Walk on eggshells,105,0.15
Want a piece of the action,111,0.31
Waste one's breath,108,0.04
Watch one's mouth,110,0.12
Watch someone like a hawk,108,0.93
Watch your back,109,0.22
Wear more than one hat,106,0.48
Wear one's heart on their sleeve,108,0.91
Welcome someone with open arms,104,0.98
Whet someone's appetite,108,0.51
Wield the axe,104,0.21
Win brownie points,107,0.93
Wipe the grin off someone's face,107,0.99
With a vengeance,108,0.01
With bated breath,105,0.78
With one's back to the wall,107,0.74
Without missing a beat,105,0.66
Won't break the bank,107,0.5
Work like a charm,107,0.86
Wrap someone around one's little finger,108,0.95
Write the book on it,104,0.53
Zip one's lip/lips,107,0.29
