"","Survey","Platform","File_date","Participant","Please click the button below to agree to participate in this study.","Do you wish to complete the article evaluation instead of the study?","spiritually","meaningfulness","entrepreneurship","tranquillize","interrupting","malnourishment","pressure point","waterskiing","milk chocolate","brussels sprouts","look what the cat's dragged in","on the off-chance","head over heel","daylight saving time","throwaway remark","six of one and half a dozen of the other","take a back seat","felt-tipped pen","lip synchronization","sabre-toothed cat","in principle","interpretation","ignorance","collaborate","heavyhearted","bureaucratic","emergency","watch out","surcharge","telecommunication","cardiovascular","production cost","interior designer","assassination","law enforcement","surfboarding","bullseye","flight simulator","orange juice","spaghetti sauce","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent","Dupe_spiritually","Dupe_meaningfulness","Dupe_entrepreneurship","Dupe_tranqualize","Dupe_interrupting","Dupe_malnourishment","Dupe_pressure_point","Dupe_waterskiing","Dupe_milk_chocolate","Dupe_brussel_sprouts","Dupe_look what the cat's dragged in","Dupe_on the off-chance","Dupe_head over heel","Dupe_daylight saving time","Dupe_throwaway remark","Dupe_six of one and half a dozen of the other","Dupe_take a back seat","Dupe_felt-tipped pen","Dupe_lip synchronization","Dupe_sabre-toothed cat","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","Reverse"
"11","List 1","Mturk","17-Jan-20","R_2TmZ1wIuwKYT4ta","I agree to participate in this study",NA,1,1,1,1,2,1,4,1,2,4,3,5,3,1,3,5,1,5,1,2,1,6,4,4,6,2,2,3,3,5,1,6,2,6,4,5,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.117391304347826,0.0706208041264664,TRUE,NA
"12","List 1","Mturk","17-Jan-20","R_3EzPlZdLEFciq8d","I agree to participate in this study",NA,2,2,4,3,3,4,3,4,5,5,2,1,2,3,1,4,2,5,4,5,2,2,3,3,1,3,3,3,4,4,4,3,4,4,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0565217391304348,0.833159015973595,FALSE,NA
"13","List 1","Mturk","17-Jan-20","R_2cckF2LEwqOyTjH","I agree to participate in this study",NA,1,2,1,3,4,4,5,5,5,5,1,1,1,3,1,4,1,5,1,5,1,1,1,1,1,1,1,1,1,1,3,4,5,3,2,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.289130434782609,0.85606047973343,FALSE,NA
"14","List 1","Mturk","17-Jan-20","R_3EGsdj5nRrwzIOH","I agree to participate in this study",NA,2,4,2,6,2,4,5,2,6,4,1,3,5,4,2,3,3,6,1,2,6,4,4,2,4,3,3,3,6,4,3,4,2,1,6,5,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.160869565217391,-0.0378893896367442,TRUE,NA
"15","List 1","Mturk","17-Jan-20","R_1jwEHoOgWp3ZBS8","I agree to participate in this study",NA,1,1,2,4,3,3,2,5,4,5,1,1,1,4,2,6,1,4,4,5,1,1,2,4,1,3,2,3,5,4,5,4,5,4,5,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0978260869565217,0.811562808114649,FALSE,NA
"16","List 1","Mturk","17-Jan-20","R_pgZZYYLRaqIkKbv","I agree to participate in this study",NA,1,1,1,4,2,1,5,5,5,5,5,1,1,5,1,1,1,5,1,5,1,2,1,2,1,2,4,1,4,2,4,5,5,4,4,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0217391304347826,0.843763403010858,FALSE,NA
"17","List 1","Mturk","17-Jan-20","R_20MdxgPjovqrAVT","I agree to participate in this study",NA,1,1,5,5,5,5,5,5,5,5,3,3,1,5,1,5,3,5,5,5,3,2,2,3,3,1,3,3,3,3,3,3,5,2,2,3,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0760869565217391,0.580352083494718,FALSE,NA
"18","List 1","Mturk","17-Jan-20","R_2rVmzIRNcx5vNUq","I agree to participate in this study",NA,1,5,5,5,5,5,3,5,5,5,2,3,2,5,2,3,2,5,5,1,3,5,5,5,3,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0717391304347826,0.381613613320542,FALSE,NA
"19","List 1","Mturk","17-Jan-20","R_1gMcgo4k2vw6m9w","I agree to participate in this study",NA,1,1,3,2,3,3,2,2,5,5,1,1,1,3,2,1,1,5,2,5,1,1,1,1,1,1,1,1,2,1,3,3,4,2,3,2,1,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.226086956521739,0.745240364486382,FALSE,NA
"20","List 1","Mturk","17-Jan-20","R_54NTBDqbM8y7zTr","I agree to participate in this study",NA,4,2,5,2,2,5,5,3,5,5,4,4,5,5,3,4,5,5,5,2,2,5,5,5,3,2,4,2,2,5,5,2,2,2,4,5,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0108695652173913,-0.0166909781674403,TRUE,NA
"21","List 1","Mturk","17-Jan-20","R_1ILrpaTs9JxoqiU","I agree to participate in this study",NA,2,2,3,4,3,5,5,5,4,5,1,1,1,3,6,5,1,5,5,5,1,1,3,3,1,3,2,1,5,4,5,4,5,4,5,5,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.36304347826087,0.757908057553725,FALSE,NA
"22","List 1","Mturk","17-Jan-20","R_238jof6g3FElE2T","I agree to participate in this study",NA,2,4,4,3,3,5,3,3,1,4,5,4,4,6,5,1,2,1,4,4,2,2,4,2,2,3,2,2,2,3,4,2,2,1,4,5,3,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00869565217391304,0.226411542065473,FALSE,NA
"23","List 1","Mturk","17-Jan-20","R_WwldHl5bpWesNJT","I agree to participate in this study",NA,4,4,5,6,3,5,2,6,1,6,2,5,2,5,4,4,2,3,2,4,2,3,5,2,4,6,1,2,4,1,6,1,4,4,2,5,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0652173913043478,0.0530625170270105,TRUE,NA
"24","List 1","Mturk","17-Jan-20","R_5cZscBFfd4I1px7","I agree to participate in this study",NA,1,1,1,2,3,4,2,5,5,5,1,1,1,1,1,1,2,5,3,5,1,1,1,3,1,1,4,4,2,2,5,1,4,4,4,5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.197826086956522,0.736589867561994,FALSE,NA
"25","List 1","Mturk","17-Jan-20","R_siqg3o2MszVIDcd","I agree to participate in this study",NA,3,4,5,4,2,5,5,5,5,5,4,3,2,5,6,3,3,5,4,5,2,3,2,1,2,3,3,1,5,3,1,4,5,1,4,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.152173913043478,0.607177104376688,FALSE,NA
"26","List 1","Mturk","17-Jan-20","R_RwRyqwcU2SZX1M5","I agree to participate in this study",NA,5,5,4,4,4,4,4,5,5,3,4,4,3,5,4,4,4,3,3,3,4,3,3,2,5,3,1,2,2,2,4,5,3,4,3,3,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0.0287726158270632,TRUE,NA
"27","List 1","Mturk","17-Jan-20","R_6x9gm9UJQ8S3lhD","I agree to participate in this study",NA,4,3,2,6,2,1,3,5,2,6,3,2,3,2,4,4,4,2,3,4,3,5,1,3,3,3,2,2,2,1,2,3,2,4,2,2,6,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0217391304347826,-0.152708415311148,TRUE,NA
"28","List 1","Mturk","17-Jan-20","R_2dvedY1mqBkntew","I agree to participate in this study",NA,2,4,5,4,4,2,2,4,2,4,2,5,3,3,3,4,4,5,4,5,3,1,2,2,2,4,2,3,3,5,4,2,3,2,2,2,2,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0.197964508188753,TRUE,NA
"29","List 1","Mturk","17-Jan-20","R_BEqTprT6vCBxcEV","I agree to participate in this study",NA,4,5,5,4,2,4,4,6,4,5,3,5,6,3,4,6,4,5,5,4,4,5,5,5,5,5,4,2,5,2,3,1,3,4,4,3,4,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0804347826086956,-0.28985394533181,TRUE,NA
"30","List 1","Mturk","17-Jan-20","R_2QEWFFYGADQ78JO","I agree to participate in this study",NA,5,5,3,4,4,5,5,5,4,3,3,5,4,6,6,5,4,5,4,4,5,5,6,4,4,6,1,6,3,3,3,3,5,5,3,1,6,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.265217391304348,-0.0907303600393676,TRUE,NA
"31","List 1","Mturk","17-Jan-20","R_2PsUknhljuApQSx","I agree to participate in this study",NA,4,3,5,4,4,4,5,5,4,3,4,5,5,5,4,4,3,4,3,5,4,5,4,1,5,5,1,5,1,4,3,4,1,3,4,3,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,0.090931726708643,TRUE,NA
"32","List 1","Mturk","17-Jan-20","R_31odGSpqsa91QCJ","I agree to participate in this study",NA,1,4,2,5,4,3,1,5,5,5,1,1,1,1,5,6,2,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.934782608695652,0.0108695652173913,NA,NA,NA
"33","List 1","Mturk","17-Jan-20","R_3khWdx7c15pwn31","I agree to participate in this study",NA,1,2,6,6,4,2,4,6,6,6,1,2,2,6,4,1,2,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0,NA,NA,NA
"34","List 1","Mturk","17-Jan-20","R_2mFp3awf8A75JXr","I agree to participate in this study",NA,1,1,3,4,4,4,2,5,5,5,1,1,1,2,1,1,4,5,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.804347826086957,0.0391304347826087,NA,NA,NA
"35","List 1","Mturk","17-Jan-20","R_qW8z5RJC74XsmB3","I agree to participate in this study",NA,1,1,1,4,3,2,4,5,5,5,2,2,1,4,2,3,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.869565217391304,0.0282608695652174,NA,NA,NA
"36","List 1","Mturk","17-Jan-20","R_1EhTF9buOIFkOLc","I agree to participate in this study",NA,4,2,3,2,2,4,2,5,4,4,3,3,2,5,3,2,4,4,5,4,NA,3,NA,NA,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.347826086956522,0,NA,NA,NA
"37","List 1","Mturk","17-Jan-20","R_3iX7HVMVvMUMDGu","I agree to participate in this study",NA,1,1,1,4,2,5,5,5,5,5,1,1,1,1,5,1,3,5,5,2,1,1,1,2,4,2,3,1,2,NA,5,1,3,2,5,4,NA,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.152173913043478,0.091304347826087,NA,NA,NA
"38","List 1","Mturk","17-Jan-20","R_SIPET6v0SBUYGtP","I agree to participate in this study",NA,2,2,5,3,5,4,5,5,5,5,2,2,2,4,3,6,3,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.934782608695652,0.00217391304347826,NA,NA,NA
"39","List 1","Mturk","17-Jan-20","R_3MznXiT79V5CjZH","I agree to participate in this study",NA,3,3,4,5,3,4,5,3,2,5,5,3,5,6,4,5,3,3,5,5,2,3,3,4,3,5,4,2,4,3,2,3,3,5,5,2,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00217391304347826,0.205029373799856,FALSE,NA
"40","List 1","Mturk","17-Jan-20","R_qKF1zHDCnkuUZW1","I agree to participate in this study",NA,5,3,5,5,1,6,5,1,5,5,5,5,1,5,6,4,4,6,6,5,3,3,3,2,3,1,5,5,5,1,1,1,3,1,1,1,3,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.160869565217391,-0.213046699906394,TRUE,NA
"41","List 1","Mturk","17-Jan-20","R_3IXzURTsjtFtlci","I agree to participate in this study",NA,6,4,5,5,6,3,4,4,3,4,5,3,4,4,5,4,4,4,3,5,6,1,2,4,6,3,3,3,1,5,6,2,5,3,4,2,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.223913043478261,0.493333453577297,FALSE,NA
"42","List 1","Mturk","17-Jan-20","R_2aJ0kckshhgbVli","I agree to participate in this study",NA,6,6,5,6,5,5,5,5,4,5,5,6,5,5,6,5,5,6,5,5,5,4,5,5,6,3,5,5,6,4,6,5,5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0717391304347826,0.0537475629488724,TRUE,NA
"43","List 1","Mturk","17-Jan-20","R_3JE1hHfe1lCpMjV","I agree to participate in this study",NA,6,6,1,6,3,3,4,4,3,1,1,1,2,1,1,1,6,1,6,5,6,3,4,2,2,1,6,1,2,1,6,1,3,1,3,2,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.130434782608696,0.190318791343387,TRUE,NA
"44","List 1","Mturk","17-Jan-20","R_3D6bZxedQXmdXDs","I agree to participate in this study",NA,4,4,6,5,4,3,3,5,4,3,5,4,4,3,3,4,3,3,4,4,3,3,4,4,3,3,3,2,3,4,4,3,4,3,3,4,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.0907056140827954,TRUE,NA
"45","List 1","Mturk","17-Jan-20","R_6zCYOLLHdh2Xp0l","I agree to participate in this study",NA,3,4,6,4,2,2,5,5,4,1,5,2,5,2,3,2,4,3,5,3,4,4,3,3,4,4,5,4,4,5,2,3,4,2,3,3,4,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0152173913043478,-0.252806062267557,TRUE,NA
"46","List 1","Mturk","17-Jan-20","R_5vWDn6eKYriuFsB","I agree to participate in this study",NA,3,4,5,4,4,3,4,5,4,5,3,4,3,5,5,5,5,4,5,4,4,5,4,4,2,4,4,4,4,4,4,4,3,4,3,5,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.0773837395980607,TRUE,NA
"47","List 1","Mturk","17-Jan-20","R_r0UATXRKtcj0Iw1","I agree to participate in this study",NA,4,4,5,4,4,4,5,5,5,5,4,5,4,3,5,4,3,4,3,4,1,2,3,1,3,3,4,2,4,3,2,4,4,3,2,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0173913043478261,0.0306990897059679,TRUE,NA
"48","List 1","Mturk","17-Jan-20","R_RDYoUAicEFS0lfH","I agree to participate in this study",NA,1,1,1,3,3,3,5,5,5,5,1,1,1,3,3,5,2,5,1,5,5,5,1,4,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.102173913043478,0.16592067259388,TRUE,NA
"49","List 1","Mturk","17-Jan-20","R_28RLUvcJ7QevQVa","I agree to participate in this study",NA,4,6,5,2,5,1,2,3,5,4,1,1,2,4,5,6,1,4,5,3,4,4,1,6,1,6,2,2,1,3,1,5,5,4,2,1,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.132608695652174,0.00601980679017786,TRUE,NA
"50","List 1","Mturk","17-Jan-20","R_2ONNPp9KMwr67sl","I agree to participate in this study",NA,5,4,5,4,4,5,4,4,5,4,4,4,5,5,5,3,4,5,6,5,3,3,3,3,4,4,5,4,4,3,3,4,4,3,4,5,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00869565217391304,0.416786997354924,FALSE,NA
