Expression,Code
a daniel come to judgement,idiom
a day late and a dollar short,idiom
a degree of,noun-noun
à deux,noun-noun
a diamond in the rough,idiom
a diamond is forever,idiom
a dicey situation,idiom
a different kettle of fish,idiom
a dime a dozen,idiom
a dish fit for the gods,idiom
a doddle,noun-noun
a dog and pony show,idiom
a dog is a man's best friend,idiom
a dog's breakfast,idiom
a dog's life,idiom
a dose of your own medicine,idiom
a doubting thomas,idiom
a drive,idiom
a drop in the bucket,idiom
a drop in the ocean,idiom
a drowning man will clutch at a straw,idiom
a dry run,idiom
a fair shake,idiom
a far cry from,idiom
a fat cat,idiom
a fate worse than death,idiom
a feather in one's cap,idiom
a feather in your cap,idiom
a few,noun-noun
a few irons in the fire,idiom
a fighting chance,idiom
a fine state of affairs,idiom
a finger in every pie,idiom
a firm grip,idiom
a fish always rots from the head down,idiom
a fish out of water,idiom
a fish rots from the head down,idiom
a flash in the pan,idiom
a fly in the ointment,idiom
a fly on the wall,idiom
a fool and his money are soon parted,idiom
a fool's paradise,idiom
a foot in the door,idiom
a foregone conclusion,idiom
a fortiori,participle verb
a freak-out,idiom
a friend in need is a friend indeed,idiom
a frog in one's throat,idiom
a frog in the throat,idiom
a further,participle verb
a gem of,idiom
a gentleman and a scholar,idiom
a getaway,idiom
a ghost of a chance,idiom
a go,idiom
a golden key can open any door,idiom
a goner,idiom
a good,idiom
a good beginning makes a good ending,idiom
a good deal,idiom
a good deal of,idiom
a good few,idiom
a good man is hard to find,idiom
a good many,idiom
a good sport,idiom
a goof-off,idiom
a gray area,idiom
a great deal,idiom
a great deal of,idiom
a great many,idiom
a grey area,idiom
a hair out of place,idiom
a handful,idiom
a handful of,idiom
a hang-up,idiom
a hard man is good to find,idiom
a hard nut to crack,idiom
a hard pill to swallow,idiom
a heart-to-heart,idiom
a heck of a lot,idiom
a heel,noun-noun
a hell of a lot,idiom
a hiding to nothing,idiom
a high-flyer,idiom
"a horse, a horse, my kingdom for a horse",idiom
a hot potato,idiom
a house divided against itself cannot stand,idiom
a house is not a home,idiom
a house of cards,idiom
a house of ill repute,idiom
a hundred times,noun-noun
a journey of a thousand miles begins with a single step,idiom
a kick in the guts,idiom
a kick in the pants,idiom
a kick in the seat,idiom
a kick in the seat of the pants,idiom
a kick in the stomach,idiom
a kick in the teeth,idiom
a kickback,idiom
a knight in shining armour,idiom
à la,participle verb
à la carte,noun-noun
à la mode,noun-noun
à la provençale,noun-noun
a lack of,participle verb
a large range of,idiom
a laugh a minute,idiom
a leg to stand on,idiom
a legend in one's own lifetime,idiom
a leopard can't change his spots,idiom
a leopard cannot change its spots,idiom
a let down,idiom
A level,noun-noun
a lick and a promise,idiom
a likely story,idiom
a little,noun-noun
a little bird told me,idiom
a little birdie told me,idiom
a little bit,idiom
a little bit of,idiom
a little bit of bread and no cheese,idiom
a little knowledge is a dangerous thing,idiom
a little learning is a dangerous thing,idiom
a little of what you fancy does you good,idiom
a load of baloney,idiom
a load of cobblers,idiom
a load of codswallop,idiom
a lone wolf,idiom
a long shot,idiom
a long time,noun-noun
a long way,noun-noun
a loose end,idiom
a lost cause,idiom
a lot,noun-noun
a lot at stake,idiom
a lot of,idiom
a lot of baloney,idiom
a lot on your plate,idiom
a low profile,idiom
a lump in my throat,idiom
A major,noun-noun
a majority of,idiom
a man after my own heart,idiom
a man is known by his friends,idiom
a man of few words,idiom
a man of his word,idiom
a man who is his own lawyer has a fool for a client,idiom
a matter of life and death,idiom
a matter of life or death,idiom
a matter of time,idiom
a mere,idiom
a method to the madness,idiom
a mile a minute,idiom
a million times,idiom
a millstone around one's neck,idiom
a ministering angel shall my sister be,idiom
a minority of,noun-noun
a miss is as good as a mile,idiom
a mixed bag,noun-noun
a month of sundays,idiom
a must,noun-noun
a nation of shopkeepers,idiom
a necessary evil,idiom
a nervous wreck,idiom
a nest of vipers,idiom
a new broom sweeps clean,idiom
a new dawn,noun-noun
a no-brainer,idiom
a No. 1,idiom
a nod is as good as a wink,idiom
a nod is as good as a wink to a blind horse,idiom
a norange,idiom
a notch above,idiom
a number of,noun-noun
a one,noun-noun
a pair,noun-noun
a pat on the back,idiom
a peach,noun-noun
a penny for your thoughts,idiom
a penny saved is a penny earned,idiom
a person is known by the company he keeps,idiom
a picture is worth a thousand words,idiom
a picture paints a thousand words,idiom
a piece of cake,idiom
a piece of the action,idiom
a pig in a poke,idiom
a pillar of strength,idiom
a pipe dream,idiom
a place for everything and everything in its place,idiom
a place in the sun,idiom
a plague on both of your houses,idiom
a plague on both your houses,idiom
a pleasure,noun-noun
a plethora of,noun-noun
a plum in your mouth,idiom
a plum job,noun-noun
a plus,noun-noun
a pocket of resistance,idiom
a poor view,noun-noun
a poor workman always blames his tools,idiom
a posteriori,noun-noun
a pound of flesh,idiom
a pretty penny,idiom
a priori,noun-noun
a problem shared is a problem halved,idiom
a prophet is not recognized in his own land,idiom
a propos,noun-noun
a put-down,idiom
a quantity of,noun-noun
a question of,noun-noun
a question of time,idiom
a range of,noun-noun
a red line,noun-noun
a red rag to a bull,idiom
a riddle wrapped up in an enigma,idiom
a rip-off,idiom
a ripe old age,idiom
a rising tide lifts all boats,idiom
a roaring trade,idiom
a roll,noun-noun
a rolling stone gathers no moss,idiom
a rose by any other name would smell as sweet,idiom
a rose is a rose is a rose,idiom
a rotten egg,idiom
a rude awakening,idiom
a running battle,idiom
a sad state of affairs,idiom
a safe pair of hands,idiom
a sea change,idiom
a sec,idiom
a senior moment,idiom
a shame,noun-noun
a sharp cookie,idiom
a short time,idiom
a shot in the arm,idiom
a shot in the dark,idiom
a shouting match,idiom
a show of hands,noun-noun
a shrinking violet,idiom
a sight for sore eyes,idiom
a silver spoon in your mouth,idiom
a single,noun-noun
a skeleton in the closet,idiom
a slap in the face,idiom
a slap on the wrist,idiom
a sledgehammer to crack a nut,idiom
a sleeping partner,noun-noun
a slice of heaven,idiom
a slice of the cake,noun-noun
a slip of the tongue,idiom
a smart cookie,idiom
a smokescreen,noun-noun
a smooth landing,idiom
a snake in the grass,idiom
a snap decision,idiom
a social butterfly,idiom
a soft answer turneth away wrath,idiom
a sore point,idiom
a sore spot,idiom
a sorry sight,idiom
a sorry state of affairs,idiom
a sport,noun-noun
a sprat to catch a mackerel,idiom
a square peg in a round hole,idiom
a stitch in time saves nine,idiom
a stone's throw,idiom
a stone's throw away,idiom
a stool pigeon,idiom
a storm is brewing,idiom
a stretch,idiom
a student,noun-noun
a stumbling block,idiom
a swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,idiom
a tall order,idiom
a tall story,idiom
a tall tale,idiom
a target on someone's back,idiom
a taste of one's own medicine,idiom
a taste of your own medicine,idiom
a thin line,idiom
a thing of beauty is a joy forever,idiom
a thing or two,idiom
a thorn in my flesh,idiom
a thorn in your flesh,idiom
a thorn in your side,idiom
a tinker's dam,idiom
a tinker's damn,idiom
a to z,idiom
a to-do,participle verb
a ton,noun-noun
a tongue-lashing,idiom
a toss up,idiom
a touch,noun-noun
a touch of,idiom
a tough cookie,idiom
a tower of strength,idiom
a treat,noun-noun
a trifle,noun-noun
a trouble shared is a trouble halved,idiom
a trying time,idiom
a turn for the worse,idiom
a turn up for the books,idiom
a variety of,noun-noun
a volunteer is worth twenty pressed men,idiom
a watched pot never boils,idiom
a week from next tuesday,idiom
a weight off your shoulders,idiom
a whale of a time,idiom
a while,noun-noun
a white lie,idiom
a whole lot,noun-noun
a wide berth,idiom
a wing and a prayer,idiom
a wolf in sheep's clothing,idiom
"a woman is only a woman, but a good cigar is a smoke",idiom
a woman needs a man like a fish needs a bicycle,idiom
a woman of her word,idiom
a woman's place is in the home,idiom
a woman's work is never done,idiom
a word in edgeways,idiom
a word in your shell-like,idiom
a word to the wise,idiom
a word to the wise is enough,idiom
a young man's fancy,idiom
a-d conversion,noun-noun
a-flat minor,noun-noun
a-frame house,noun-noun
a-frame tent,noun-noun
a-level,noun-noun
a-sharp major,noun-noun
a-team,idiom
a.n. other,noun-noun
A1,idiom
A2 level,idiom
ab extra,noun-noun
ab inconvenienti,noun-noun
ab initio,noun-noun
abandon a sinking ship,idiom
abandon all hope ye who enter here,idiom
abandon ship,idiom
abandoned infant,noun-noun
abasia atactica,noun-noun
abate of,participle verb
abatement of a nuisance,noun-noun
abb wool,noun-noun
abbot general,noun-noun
abbreviated piece of nothing,noun-noun
abdominal cavity,noun-noun
abdominal muscle,noun-noun
abdominal pregnancy,noun-noun
abdominal quadrant,noun-noun
abdominal strap,noun-noun
abdominal wall,noun-noun
abdominodiaphragmatic breathing,noun-noun
abdominoperineal resection,noun-noun
abductor muscle,noun-noun
abductor oculi,noun-noun
abide by,participle verb
abide by something,participle verb
abide with me,participle verb
abietic acid,noun-noun
ablative case,noun-noun
able and willing,idiom
able bodied,noun-noun
able for,noun-noun
able rating,noun-noun
able seaman,noun-noun
able to take a joke,idiom
able-bodied,noun-noun
abney level,noun-noun
abnormal psychology,noun-noun
abo system,noun-noun
abominable snowman,idiom
abortion pill,noun-noun
abortion right,noun-noun
abound in,noun-noun
abound in one's own sense,idiom
abound with,idiom
about face,idiom
about time,idiom
about to,noun-noun
about turn,idiom
about-face,idiom
above all,noun-noun
above and beyond,idiom
above and beyond the call of duty,idiom
above average,noun-noun
above board,noun-noun
above measure,noun-noun
above one's bend,idiom
above stealing,idiom
above the curve,idiom
above the law,idiom
above water,idiom
above your pay grade,idiom
above-the-line promotion,idiom
abracadabra,idiom
abrasive personality,idiom
abruptio placentae,noun-noun
abscissio infiniti,noun-noun
absence makes the heart grow fonder,idiom
absence makes the heart grow stronger,idiom
absence seizure,noun-noun
absence without leave,idiom
absent minded,idiom
absent without leave,idiom
absent-minded,idiom
absent-mindedly,idiom
absent-mindedness,idiom
absentee ballot,noun-noun
absentee landlord,noun-noun
absentee rate,noun-noun
absentee vote,noun-noun
absinthe oil,noun-noun
absolute altimeter,noun-noun
absolute ceiling,noun-noun
absolute form,noun-noun
absolute frequency,noun-noun
absolute humidity,noun-noun
absolute majority,noun-noun
absolute of enfleurage,noun-noun
absolute pitch,noun-noun
absolute power corrupts absolutely,idiom
absolute system,noun-noun
absolute temperature,noun-noun
absolute term,noun-noun
absolute threshold,noun-noun
absolute value,noun-noun
absolute zero,noun-noun
absolutely not,noun-noun
absorbed dose,noun-noun
absorbent pad,noun-noun
absorption band,noun-noun
absorption cell,noun-noun
absorption coefficient,noun-noun
absorption factor,noun-noun
absorption indicator,noun-noun
absorption spectrum,noun-noun
abstract art,noun-noun
abstract artist,noun-noun
abstract entity,noun-noun
abstract expressionism,noun-noun
abstract expressionist,noun-noun
abstract idea,noun-noun
abstract model,noun-noun
abstract music,noun-noun
abstract nonsense,noun-noun
abstract noun,noun-noun
abstract term,noun-noun
abstract thought,noun-noun
abstract verb,noun-noun
abuse of distress,Participle verb
abutment arch,noun-noun
abyssal zone,noun-noun
acacia tree,noun-noun
academic degree,noun-noun
academic freedom,noun-noun
academic gown,noun-noun
academic robe,noun-noun
academic session,noun-noun
academic term,noun-noun
academic year,noun-noun
academy award,noun-noun
academy awards,noun-noun
acaroid gum,noun-noun
accelerate off,participle verb
accelerated graphics port,noun-noun
acceleration principle,noun-noun
accelerator board,noun-noun
accelerator card,noun-noun
accelerator pedal,noun-noun
accent mark,noun-noun
accent pillow,noun-noun
accentual system,noun-noun
access code,noun-noun
access control list,noun-noun
access course,noun-noun
access number,noun-noun
access panel,noun-noun
access profile,noun-noun
access provider,noun-noun
access road,noun-noun
access route,noun-noun
access time,noun-noun
accessory after the fact,idiom
accessory before the fact,idiom
accessory cloud,idiom
accessory fruit,idiom
accessory nerve,idiom
accident and emergency,noun-noun
accident of birth,noun-noun
accident prone,idiom
accident surgery,noun-noun
accident waiting to happen,idiom
accident-prone,noun-noun
accidental death,noun-noun
accidental injury,noun-noun
accidentally on purpose,idiom
accidents will happen,noun-noun
accommodation centre,noun-noun
accommodation ladder,noun-noun
accomodate requirements,noun-noun
accompanied baggage,idiom
accomplished fact,noun-noun
accord and satisfaction,idiom
accord with,participle verb
according as,participle verb
according to,participle verb
according to hoyle,idiom
accordion door,noun-noun
account book,noun-noun
account executive,noun-noun
account for,noun-noun
account holder,noun-noun
account name,noun-noun
account payable,noun-noun
account receivable,noun-noun
account statement,noun-noun
accounting firm,noun-noun
accounting package,noun-noun
accounts payable,noun-noun
accounts receivable,noun-noun
accredit with,participle verb
accrual basis,noun-noun
accumulation point,noun-noun
accusative case,noun-noun
accused of,participle verb
accustom to,participle verb
accustomed to,participle verb
ace a test,idiom
ace in the hole,idiom
ace inhibitor,noun-noun
ace it,Idiom
ace of clubs,Noun-noun
ace of diamond,Noun-noun
ace of diamonds,Noun-noun
ace of hearts,Noun-noun
ace of spades,Noun-noun
ace up one's sleeve,idiom
ace up the sleeve,idiom
ace up your sleeve,idiom
acerate leaf,noun-noun
acetate disk,noun-noun
acetic acid,noun-noun
acetyl group,noun-noun
acetyltannic acid,noun-noun
ache for,participle verb
ache over,participle verb
achieve a performance,noun-noun
achieve success,noun-noun
achilles heel,idiom
achilles tendon,noun-noun
achilles' heel,idiom
achromatic color,noun-noun
achromatic colour,noun-noun
achromatic lens,noun-noun
achromatic vision,noun-noun
acid house,idiom
acid jazz,idiom
acid of apples,idiom
acid rain,noun-noun
acid rock,noun-noun
acid taste,noun-noun
acid test,noun-noun
ack-ack gun,noun-noun
ackee tree,noun-noun
acknowledge the corn,idiom
acne cover,noun-noun
acne pimple,noun-noun
acne rosacea,noun-noun
acorn nut,noun-noun
acorn squash,noun-noun
acoustic buoy,noun-noun
acoustic coupler,noun-noun
acoustic emission,noun-noun
acoustic guitar,noun-noun
acoustic nerve,noun-noun
acoustic power,noun-noun
acoustic resistance,noun-noun
acoustic spectrum,noun-noun
acoustic velocity,noun-noun
acoustic wave,noun-noun
acquaintance rape,noun-noun
acquired immune deficiency syndrome,noun-noun
acquired taste,idiom
acquit oneself,idiom
acrocoracohumeral ligament,noun-noun
acromial process,noun-noun
acronyms,noun-noun
across from,noun-noun
across the board,idiom
across the country,noun-noun
across the line,idiom
across the nation,noun-noun
across the pond,idiom
across-the-board,idiom
acrylic acid,noun-noun
acrylic fiber,noun-noun
act as,participle verb
act for,participle verb
act high-and-mighty,idiom
act of congress,idiom
act of contrition,idiom
act of faith,idiom
act of god,idiom
act of terror,idiom
act of terrorism,idiom
act on,participle verb
act one's age,idiom
act out,idiom
act reflexively,idiom
act superior,idiom
act the giddy goat,idiom
act the part,idiom
act up,idiom
act upon,idiom
act your age,idiom
acte gratuit,idiom
acting out,idiom
acting up,idiom
actinic ray,noun-noun
action figure,noun-noun
action film,noun-noun
action group,noun-noun
action man,idiom
action mechanism,noun-noun
action movie,noun-noun
action officer,idiom
action painting,idiom
action plant,noun-noun
action point,idiom
action potential,noun-noun
action replay,noun-noun
action research,noun-noun
action stations,noun-noun
action verb,noun-noun
actions speak louder than words,idiom
activated sludge,noun-noun
active agent,noun-noun
active birth,noun-noun
active duty,idiom
active galactic nucleus,noun-noun
active immunity,noun-noun
active ingredient,noun-noun
active list,noun-noun
active placebo,noun-noun
active service,idiom
active voice,noun-noun
active window,noun-noun
activist judge,noun-noun
activist justice,noun-noun
activity holiday,noun-noun
actor agent,noun-noun
acts of god,idiom
actual bodily harm,noun-noun
actual eviction,noun-noun
actuarial table,noun-noun
acute accent,noun-noun
acute angle,noun-noun
acute glaucoma,noun-noun
acute kidney failure,noun-noun
acute triangle,noun-noun
ad absurdum,idiom
ad agency,idiom
ad campaign,idiom
ad hoc,idiom
ad hominem,idiom
ad infinitum,idiom
ad interim,idiom
ad lib,idiom
ad libitum,idiom
ad libs,idiom
ad loc.,idiom
ad nauseam,idiom
ad page,idiom
ad valorem,idiom
ad-hoc polymorphism,idiom
ad-lib,idiom
adam and eve,idiom
adam's ale,idiom
adam's apple,idiom
adapter pattern,noun-noun
adaptive optics,noun-noun
add bonus,idiom
add fuel to the fire,idiom
add fuel to the flames,idiom
add in,idiom
add insult to injury,idiom
add on,idiom
add on to,idiom
add to,idiom
add together,idiom
add up,idiom
add up to,idiom
addams family,idiom
added value,idiom
adder's mouth,idiom
adder's tongue,idiom
adding machine,idiom
addis abeba,idiom
addition polymerization,noun-noun
addition reaction,noun-noun
addition sign,noun-noun
additive group,noun-noun
additive inverse,noun-noun
address bar,noun-noun
address book,noun-noun
adductor muscle,noun-noun
adenosine triphosphate,noun-noun
adequate to,noun-noun
ader wax,noun-noun
adhere to,participle verb
adhesion contract,noun-noun
adhesive agent,noun-noun
adhesive bandage,noun-noun
adhesive material,noun-noun
adhesive tape,noun-noun
adiabatic gradient,noun-noun
adirondack chair,noun-noun
adjacent angle,noun-noun
adjacent to,noun-noun
adjectival group,noun-noun
adjective group,noun-noun
adjoining room,noun-noun
adjourn to,noun-noun
adjustable spanner,noun-noun
adjustable wrench,noun-noun
adjusting entry,noun-noun
adjutant general,noun-noun
adjutants general,noun-noun
administrative assistant,noun-noun
administrative official,noun-noun
administrative unit,noun-noun
admiral of the fleet,noun-noun
admiral's cup,noun-noun
admiralty law,noun-noun
admission charge,noun-noun
admission day,idiom
admission fee,noun-noun
admit of,participle verb
admit to,participle verb
adobe house,noun-noun
adoption agency,noun-noun
adoptive father,noun-noun
adoptive mother,noun-noun
adoptive parent,noun-noun
adrenal gland,noun-noun
adrenaline junkie,idiom
adsorbent material,noun-noun
aduki bean,noun-noun
adult body,noun-noun
adult education,noun-noun
adult female,noun-noun
adult intelligence,noun-noun
adult life,noun-noun
adult male,noun-noun
adult male body,noun-noun
adult third culture kids,noun-noun
adult tooth,noun-noun
advance cheque,noun-noun
advance directive,noun-noun
advance guard,noun-noun
advance look,noun-noun
advance poll,noun-noun
advance warning,noun-noun
advance woman,noun-noun
advanced degree,noun-noun
advanced guard,noun-noun
advanced higher,noun-noun
advanced in years,noun-noun
advanced level,noun-noun
advanced placement,noun-noun
advanced subsidiary level,noun-noun
advent calendar,noun-noun
advent sunday,noun-noun
adventure education,noun-noun
adventure game,noun-noun
adventure holiday,noun-noun
adventure playground,noun-noun
adventure story,noun-noun
adventure tour,noun-noun
adventure travel,noun-noun
adverb group,noun-noun
adverb phrase,noun-noun
adverbial group,noun-noun
adverbial particle,noun-noun
adversarial system,noun-noun
adverse opinion,noun-noun
adverse witness,noun-noun
adversity makes strange bedfellows,idiom
advertising agency,noun-noun
advertising campaign,noun-noun
advertising department,noun-noun
advertising firm,noun-noun
advice and consent,noun-noun
advice boat,noun-noun
advice column,noun-noun
advice columnist,noun-noun
advice line,noun-noun
advisory board,noun-noun
advisory opinion,noun-noun
advisory service,noun-noun
advocacy group,noun-noun
adzuki bean,noun-noun
aeolian harp,noun-noun
aerial cableway,noun-noun
aerial root,noun-noun
aerobic respiration,noun-noun
aerodynamic lift,noun-noun
aerosol can,noun-noun
afar off,idiom
affair of the heart,idiom
affaire d'honneur,idiom
affairs of state,noun-noun
affect perseverance,noun-noun
affective disorder,noun-noun
afferent fiber,noun-noun
afferent nerve,noun-noun
affidavit men,noun-noun
affiliate marketing,noun-noun
affine geometry,noun-noun
affine group,noun-noun
affine transformation,noun-noun
affinity card,noun-noun
affinity group,noun-noun
affirmative action,noun-noun
affirmative pleading,noun-noun
afford to,participle verb
affordable housing,noun-noun
afghan hound,noun-noun
afoul of,participle verb
afraid of one's own shadow,idiom
afraid of your shadow,idiom
african american,noun-noun
african canadian,noun-noun
african caribbean,noun-noun
african crake,noun-noun
african renaissance,idiom
african violet,noun-noun
african-american,noun-noun
africanist dance,noun-noun
afro hairdo,noun-noun
afro wig,noun-noun
afro-seminole creole,noun-noun
after a fashion,noun-noun
after a storm comes a calm,idiom
after all,noun-noun
after all is said and done,idiom
after all that,noun-noun
after due consideration,noun-noun
after hours,noun-noun
after one's own heart,idiom
after part,idiom
after party,noun-noun
after saturday comes sunday,idiom
after the dust settles,idiom
after the fact,idiom
after the lord mayor's show,idiom
after the manner of,idiom
after-sales service,noun-noun
after-shave lotion,noun-noun
afternoon shift,noun-noun
afternoon tea,noun-noun
aga saga,noun-noun
again and again,idiom
against all odds,idiom
against my better judgment,idiom
against my will,idiom
against one's better judgement,idiom
against the clock,idiom
against the collar,idiom
against the grain,idiom
against the law,idiom
against the run of play,idiom
against the stream,idiom
against the wind,idiom
against your will,idiom
agape love,noun-noun
age before beauty,idiom
age bracket,noun-noun
"age cannot wither her, nor custom stale her infinite variety",idiom
age class,noun-noun
age discrimination,noun-noun
age gap,noun-noun
age group,noun-noun
age limit,noun-noun
age norm,noun-noun
age of consent,noun-noun
age of enlightenment,noun-noun
age of judgment,noun-noun
age of reason,noun-noun
age pension,noun-noun
age range,noun-noun
agency pricing,noun-noun
agenda item,noun-noun
agent bank,noun-noun
agent general,noun-noun
agent noun,noun-noun
agent orange,idiom
agent provocateur,idiom
agentive role,noun-noun
agents general,noun-noun
agents provocateurs,noun-noun
agglutination test,noun-noun
aggravated assault,noun-noun
aggravated burglary,noun-noun
agnus dei,noun-noun
agonic line,noun-noun
agonize over,noun-noun
agony aunt,noun-noun
agony box,noun-noun
agony column,noun-noun
agony uncle,noun-noun
agrarian revolution,noun-noun
agree on,noun-noun
agree to,noun-noun
agree to differ,noun-noun
agree to disagree,noun-noun
agree with,noun-noun
agreed upon,noun-noun
agreement in principle,noun-noun
agricultural agent,noun-noun
agricultural company,noun-noun
agricultural labourer,noun-noun
agriculture department,noun-noun
aha moment,idiom
ahead of,participle verb
ahead of one's time,idiom
ahead of the curve,idiom
ahead of the game,idiom
ahead of the pack,idiom
ahead of time,idiom
ahead of your time,idiom
aid agency,noun-noun
aid and abet,idiom
aid climbing,participle verb
aid money,noun-noun
aid package,noun-noun
aid station,noun-noun
aid worker,noun-noun
aide memoire,noun-noun
aide-mémoire,noun-noun
aided awareness,noun-noun
aiding and abetting,idiom
aids baby,idiom
aids vaccine,noun-noun
aids virus,noun-noun
aim at,participle verb
aim down,participle verb
aim for,participle verb
aim for the stars,idiom
aim to,participle verb
aimed at,participle verb
ain't half-bad,idiom
ain't my first rodeo,idiom
ain't over till the fat lady sings,idiom
aioli sauce,noun-noun
air alert,noun-noun
air ambulance,noun-noun
air attack,noun-noun
air bag,noun-noun
air ball,noun-noun
air base,noun-noun
air bed,noun-noun
air biscuit,noun-noun
air bladder,noun-noun
air blower,noun-noun
air brake,noun-noun
air bridge,noun-noun
air bubble,noun-noun
air carrier,noun-noun
air castle,noun-noun
air cell,noun-noun
air chamber,noun-noun
air chief marshal,noun-noun
air cleaner,noun-noun
air combat command,noun-noun
air commodore,noun-noun
air compressor,noun-noun
air con,noun-noun
air conditioned,noun-noun
air conditioner,noun-noun
air conditioning,noun-noun
air cooler,noun-noun
air corps,noun-noun
air corridor,noun-noun
air cover,noun-noun
air crew,noun-noun
air current,noun-noun
air cushion,noun-noun
air defense,noun-noun
air division,noun-noun
air drop,noun-noun
air duct,noun-noun
air filter,noun-noun
air flow,noun-noun
air force,noun-noun
air force intelligence surveillance and reconnaissance,noun-noun
air force one,noun-noun
air freshener,noun-noun
air gas,noun-noun
air group,noun-noun
air guitar,noun-noun
air guitarist,noun-noun
air gun,noun-noun
air gun pellet,noun-noun
air hammer,noun-noun
air hockey table,noun-noun
air hole,noun-noun
air horn,noun-noun
air hose,noun-noun
air hostess,noun-noun
air intake,noun-noun
air jacket,noun-noun
air kiss,idiom
air lane,noun-noun
air letter,noun-noun
air level,noun-noun
air lift,noun-noun
air lock,noun-noun
air mail,noun-noun
air marshal,noun-noun
air mask,noun-noun
air mass,noun-noun
air mattress,noun-noun
air medal,noun-noun
air mile,noun-noun
air miles,noun-noun
air out,noun-noun
air passage,noun-noun
air pistol,noun-noun
air plant,noun-noun
air pocket,noun-noun
air pollution,noun-noun
air potato,noun-noun
air power,noun-noun
air pressure,noun-noun
air pump,noun-noun
air quality,noun-noun
air quotes,noun-noun
air rage,noun-noun
air raid,noun-noun
air resistance,noun-noun
air ride,noun-noun
air rifle,noun-noun
air sac,noun-noun
air scooter,noun-noun
air shaft,noun-noun
air shed,noun-noun
air show,noun-noun
air sick,noun-noun
air sickness,noun-noun
air sock,noun-noun
air space,noun-noun
air speed,noun-noun
air spring,noun-noun
air station,noun-noun
air stewardess,noun-noun
air stream,noun-noun
air strike,noun-noun
air support,noun-noun
air tank,noun-noun
air terminal,noun-noun
air time,noun-noun
air traffic,noun-noun
air traffic control,noun-noun
air traffic controller,noun-noun
air transport,noun-noun
air travel,noun-noun
air traveler,noun-noun
air traveller,noun-noun
air vent,noun-noun
air vice-marshal,noun-noun
air wave,noun-noun
air waves,noun-noun
air well,noun-noun
air your dirty laundry in public,idiom
air your dirty linen in public,idiom
air-conditioned,noun-noun
air-raid shelter,noun-noun
air-sea rescue,noun-noun
air-to-air missile,noun-noun
air-to-ground missile,noun-noun
air-to-surface missile,noun-noun
aircraft attitude,noun-noun
aircraft carrier,noun-noun
aircraft engine,noun-noun
aircraft landing,noun-noun
aircraft propeller,noun-noun
airedale terrier,noun-noun
airing cupboard,noun-noun
airline business,noun-noun
airline industry,noun-noun
airmail letter,noun-noun
airplane maneuver,noun-noun
airplane pilot,noun-noun
airplane propeller,noun-noun
airplane ticket,noun-noun
airport fiction,noun-noun
airport novel,noun-noun
airport tax,noun-noun
airport terminal,noun-noun
airs and graces,noun-noun
airspeed indicator,noun-noun
airy beam,noun-noun
airy fairy,idiom
aisle seat,noun-noun
al dente,idiom
al desko,idiom
al fresco,idiom
aladdin's cave,idiom
